token,class,prefix,suffix,token_length,alpha_count,digit_count,special_char_count,x_count,contains_fraction,contains_decimal,contains_dash,contains_slash,contains_space,starts_with_letter,starts_with_digit,ends_with_digit,ends_with_letter,numeric_groups,alphabetic_groups,shape_family,material_hint,company_prefix,normalized_token,regex_signature,category,source
WF40X655,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF40X655,A|N|A|N,,augmented
W40 X 655,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W40 X 655,A|N|SPACE|A|SPACE|N,,original
WF 40X655,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 40X655,A|SPACE|N|A|N,,augmented
WF-40X655,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-40X655,A|SEP:-|N|A|N,,augmented
W 40 X 655,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40 X 655,A|SPACE|N|SPACE|A|SPACE|N,,original
W40X655 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W40X655 WF,A|N|A|N|SPACE|A,,augmented
WF W40X655,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W40X655,A|SPACE|A|N|A|N,,augmented
WF-W40X655,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W40X655,A|SEP:-|A|N|A|N,,augmented
W40X593,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W40X593,A|N|A|N,,original
W 40X593,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40X593,A|SPACE|N|A|N,,original
W-40X593,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-40X593,A|SEP:-|N|A|N,,augmented
W_40X593,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_40X593,A|SEP:_|N|A|N,,augmented
WF40X593,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF40X593,A|N|A|N,,augmented
W40 X 593,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W40 X 593,A|N|SPACE|A|SPACE|N,,original
WF 40X593,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 40X593,A|SPACE|N|A|N,,augmented
WF-40X593,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-40X593,A|SEP:-|N|A|N,,augmented
W 40 X 593,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40 X 593,A|SPACE|N|SPACE|A|SPACE|N,,original
W40X593 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W40X593 WF,A|N|A|N|SPACE|A,,augmented
WF W40X593,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W40X593,A|SPACE|A|N|A|N,,augmented
WF-W40X593,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W40X593,A|SEP:-|A|N|A|N,,augmented
W40X503,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W40X503,A|N|A|N,,original
W 40X503,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40X503,A|SPACE|N|A|N,,original
W-40X503,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-40X503,A|SEP:-|N|A|N,,augmented
W_40X503,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_40X503,A|SEP:_|N|A|N,,augmented
WF40X503,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF40X503,A|N|A|N,,augmented
W40 X 503,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W40 X 503,A|N|SPACE|A|SPACE|N,,original
WF 40X503,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 40X503,A|SPACE|N|A|N,,augmented
WF-40X503,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-40X503,A|SEP:-|N|A|N,,augmented
W 40 X 503,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40 X 503,A|SPACE|N|SPACE|A|SPACE|N,,original
W40X503 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W40X503 WF,A|N|A|N|SPACE|A,,augmented
WF W40X503,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W40X503,A|SPACE|A|N|A|N,,augmented
WF-W40X503,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W40X503,A|SEP:-|A|N|A|N,,augmented
W40X431,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W40X431,A|N|A|N,,original
W 40X431,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40X431,A|SPACE|N|A|N,,original
W-40X431,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-40X431,A|SEP:-|N|A|N,,augmented
W_40X431,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_40X431,A|SEP:_|N|A|N,,augmented
WF40X431,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF40X431,A|N|A|N,,augmented
W40 X 431,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W40 X 431,A|N|SPACE|A|SPACE|N,,original
WF 40X431,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 40X431,A|SPACE|N|A|N,,augmented
WF-40X431,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-40X431,A|SEP:-|N|A|N,,augmented
W 40 X 431,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40 X 431,A|SPACE|N|SPACE|A|SPACE|N,,original
W40X431 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W40X431 WF,A|N|A|N|SPACE|A,,augmented
WF W40X431,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W40X431,A|SPACE|A|N|A|N,,augmented
WF-W40X431,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W40X431,A|SEP:-|A|N|A|N,,augmented
W40X397,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W40X397,A|N|A|N,,original
W 40X397,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40X397,A|SPACE|N|A|N,,original
W-40X397,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-40X397,A|SEP:-|N|A|N,,augmented
W_40X397,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_40X397,A|SEP:_|N|A|N,,augmented
WF40X397,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF40X397,A|N|A|N,,augmented
W40 X 397,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W40 X 397,A|N|SPACE|A|SPACE|N,,original
WF 40X397,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 40X397,A|SPACE|N|A|N,,augmented
WF-40X397,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-40X397,A|SEP:-|N|A|N,,augmented
W 40 X 397,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40 X 397,A|SPACE|N|SPACE|A|SPACE|N,,original
W40X397 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W40X397 WF,A|N|A|N|SPACE|A,,augmented
WF W40X397,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W40X397,A|SPACE|A|N|A|N,,augmented
WF-W40X397,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W40X397,A|SEP:-|A|N|A|N,,augmented
W40X372,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W40X372,A|N|A|N,,original
W 40X372,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40X372,A|SPACE|N|A|N,,original
W-40X372,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-40X372,A|SEP:-|N|A|N,,augmented
W_40X372,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_40X372,A|SEP:_|N|A|N,,augmented
WF40X372,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF40X372,A|N|A|N,,augmented
W40 X 372,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W40 X 372,A|N|SPACE|A|SPACE|N,,original
WF 40X372,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 40X372,A|SPACE|N|A|N,,augmented
WF-40X372,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-40X372,A|SEP:-|N|A|N,,augmented
W 40 X 372,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40 X 372,A|SPACE|N|SPACE|A|SPACE|N,,original
W40X372 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W40X372 WF,A|N|A|N|SPACE|A,,augmented
WF W40X372,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W40X372,A|SPACE|A|N|A|N,,augmented
WF-W40X372,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W40X372,A|SEP:-|A|N|A|N,,augmented
W40X362,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W40X362,A|N|A|N,,original
W 40X362,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40X362,A|SPACE|N|A|N,,original
W-40X362,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-40X362,A|SEP:-|N|A|N,,augmented
W_40X362,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_40X362,A|SEP:_|N|A|N,,augmented
WF40X362,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF40X362,A|N|A|N,,augmented
W40 X 362,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W40 X 362,A|N|SPACE|A|SPACE|N,,original
WF 40X362,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 40X362,A|SPACE|N|A|N,,augmented
WF-40X362,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-40X362,A|SEP:-|N|A|N,,augmented
W 40 X 362,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40 X 362,A|SPACE|N|SPACE|A|SPACE|N,,original
W40X362 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W40X362 WF,A|N|A|N|SPACE|A,,augmented
WF W40X362,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W40X362,A|SPACE|A|N|A|N,,augmented
WF-W40X362,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W40X362,A|SEP:-|A|N|A|N,,augmented
W40X324,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W40X324,A|N|A|N,,original
W 40X324,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40X324,A|SPACE|N|A|N,,original
W-40X324,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-40X324,A|SEP:-|N|A|N,,augmented
W_40X324,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_40X324,A|SEP:_|N|A|N,,augmented
WF40X324,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF40X324,A|N|A|N,,augmented
W40 X 324,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W40 X 324,A|N|SPACE|A|SPACE|N,,original
WF 40X324,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 40X324,A|SPACE|N|A|N,,augmented
WF-40X324,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-40X324,A|SEP:-|N|A|N,,augmented
W 40 X 324,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40 X 324,A|SPACE|N|SPACE|A|SPACE|N,,original
W40X324 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W40X324 WF,A|N|A|N|SPACE|A,,augmented
WF W40X324,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W40X324,A|SPACE|A|N|A|N,,augmented
