token,normalized_token,target_section,source,reviewer_correction,validation_status,quantity,page_number,bbox,ocr_confidence,line_context
Double Angle 2L10X10X11/4 ASTM A36,DOUBLEANGLE2L10X10X11/4ASTMA36,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L1OX10X11/4,2L1OX10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10X1OX11/4,2L10X1OX11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2l10x10x11/4,2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
Double Angle-2L10X10X11/4,DOUBLEANGLE2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4 Double Angle,2L10X10X11/4DOUBLEANGLE,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L_10X10X11/4,2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4 ASTM A36,2L10X10X11/4ASTMA36,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10X10X1I/4,2L10X10X1I/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10XI0X11/4,2L10XI0X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
LL Angle-2L10X10X11/4,LLANGLE2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10×10×11/4,2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4X11/2,2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L_10X10X11/4X11/2,2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X10XI1/4X11/2,2L10X10XI1/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/4X11/2 A36,2L10X10X11/4X11/2A36,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/4X11/2 LL Angle,2L10X10X11/4X11/2LLANGLE,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L1OX10X11/4X11/2,2L1OX10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L Shape 2L10X10X11/4X11/2,2LSHAPE2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L Shape-2L10X10X11/4X11/2,2LSHAPE2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/4X11/2 Double Angle,2L10X10X11/4X11/2DOUBLEANGLE,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10XI0X11/4X11/2,2L10XI0X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/4X11/2 2L Shape,2L10X10X11/4X11/22LSHAPE,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/4X11/2 ASTM A36,DOUBLEANGLE2L10X10X11/4X11/2ASTMA36,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/4X1I/2,2L10X10X11/4X1I/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10 X 10 X 11/4 X 11/2,2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L 10X10X11/4X11/2,2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/4X11/2 ASTM A36,2L10X10X11/4X11/2ASTMA36,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2LI0X10X11/4X11/2,2LI0X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
LL Angle-2L10X10X11/4X11/2,LLANGLE2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X10X1I/4X11/2,2L10X10X1I/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X1OX11/4X11/2,2L10X1OX11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/4X11/2 A36,DOUBLEANGLE2L10X10X11/4X11/2A36,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
LL Angle 2L10X10X11/4X11/2,LLANGLE2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L-10X10X11/4X11/2,2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10 X 10X11/4X11/2,2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/4X11/2,DOUBLEANGLE2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10×10×11/4×11/2,2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
Double Angle-2L10X10X11/4X11/2,DOUBLEANGLE2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/4XI1/2,2L10X10X11/4XI1/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
2L 10 X 10 X 11/4 X 11/2,2L10X10X11/4X11/2,2L10X10X11/4X11/2,aisc_augmented,False,reference,,,,,
LL Angle 2L10X10X11/4X3/4,LLANGLE2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L1OX10X11/4X3/4,2L1OX10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4X3/4 ASTM A36,2L10X10X11/4X3/4ASTMA36,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/4X3/4,DOUBLEANGLE2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L Shape-2L10X10X11/4X3/4,2LSHAPE2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/4X3/4 ASTM A36,DOUBLEANGLE2L10X10X11/4X3/4ASTMA36,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L Shape 2L10X10X11/4X3/4,2LSHAPE2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/4X3/4 A36,DOUBLEANGLE2L10X10X11/4X3/4A36,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4X3/4 Double Angle,2L10X10X11/4X3/4DOUBLEANGLE,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L_10X10X11/4X3/4,2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4X3/4 LL Angle,2L10X10X11/4X3/4LLANGLE,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L-10X10X11/4X3/4,2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10X10XI1/4X3/4,2L10X10XI1/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L 10 X 10 X 11/4 X 3/4,2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10×10×11/4×3/4,2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4X3/4,2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4X3/4 2L Shape,2L10X10X11/4X3/42LSHAPE,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10 X 10 X 11/4 X 3/4,2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2LI0X10X11/4X3/4,2LI0X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10XI0X11/4X3/4,2L10XI0X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L 10X10X11/4X3/4,2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10X1OX11/4X3/4,2L10X1OX11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
Double Angle-2L10X10X11/4X3/4,DOUBLEANGLE2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4X3/4 A36,2L10X10X11/4X3/4A36,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
LL Angle-2L10X10X11/4X3/4,LLANGLE2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10X10X1I/4X3/4,2L10X10X1I/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L10 X 10X11/4X3/4,2L10X10X11/4X3/4,2L10X10X11/4X3/4,aisc_augmented,False,reference,,,,,
2L1OX10X11/8,2L1OX10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/8 A36,DOUBLEANGLE2L10X10X11/8A36,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10X10X11/8 2L Shape,2L10X10X11/82LSHAPE,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10 X 10 X 11/8,2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L 10X10X11/8,2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L 10 X 10 X 11/8,2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2LI0X10X11/8,2LI0X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10X10X11/8 A36,2L10X10X11/8A36,2L10X10X11/8,aisc_augmented,False,reference,,,,,
LL Angle 2L10X10X11/8,LLANGLE2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10×10×11/8,2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L Shape 2L10X10X11/8,2LSHAPE2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
Double Angle-2L10X10X11/8,DOUBLEANGLE2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L-10X10X11/8,2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10 X 10X11/8,2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10X10X11/8 ASTM A36,2L10X10X11/8ASTMA36,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L Shape-2L10X10X11/8,2LSHAPE2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10X10X11/8 Double Angle,2L10X10X11/8DOUBLEANGLE,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2l10x10x11/8,2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/8 ASTM A36,DOUBLEANGLE2L10X10X11/8ASTMA36,2L10X10X11/8,aisc_augmented,False,reference,,,,,
LL Angle-2L10X10X11/8,LLANGLE2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10X10XI1/8,2L10X10XI1/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10X10X11/8 LL Angle,2L10X10X11/8LLANGLE,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10X1OX11/8,2L10X1OX11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10X10X11/B,2L10X10X11/B,2L10X10X11/8,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/8,DOUBLEANGLE2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10X10X1I/8,2L10X10X1I/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L_10X10X11/8,2L10X10X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
2L10XI0X11/8,2L10XI0X11/8,2L10X10X11/8,aisc_augmented,False,reference,,,,,
Double Angle-2L10X10X11/8X11/2,DOUBLEANGLE2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/8X11/2 A36,2L10X10X11/8X11/2A36,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
LL Angle 2L10X10X11/8X11/2,LLANGLE2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/BX11/2,2L10X10X11/BX11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/8X11/2 ASTM A36,DOUBLEANGLE2L10X10X11/8X11/2ASTMA36,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10×10×11/8×11/2,2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/8X11/2 ASTM A36,2L10X10X11/8X11/2ASTMA36,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X1I/8X11/2,2L10X10X1I/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
LL Angle-2L10X10X11/8X11/2,LLANGLE2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10XI0X11/8X11/2,2L10XI0X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/8X11/2,2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/8X1I/2,2L10X10X11/8X1I/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10XI1/8X11/2,2L10X10XI1/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L-10X10X11/8X11/2,2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/8X11/2,DOUBLEANGLE2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/8X11/2 A36,DOUBLEANGLE2L10X10X11/8X11/2A36,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/8XI1/2,2L10X10X11/8XI1/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X1OX11/8X11/2,2L10X1OX11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L Shape 2L10X10X11/8X11/2,2LSHAPE2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10 X 10X11/8X11/2,2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L Shape-2L10X10X11/8X11/2,2LSHAPE2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L 10X10X11/8X11/2,2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L1OX10X11/8X11/2,2L1OX10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/8X11/2 Double Angle,2L10X10X11/8X11/2DOUBLEANGLE,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L_10X10X11/8X11/2,2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2LI0X10X11/8X11/2,2LI0X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/8X11/2 2L Shape,2L10X10X11/8X11/22LSHAPE,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L 10 X 10 X 11/8 X 11/2,2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10 X 10 X 11/8 X 11/2,2L10X10X11/8X11/2,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X11/8X11/2 LL Angle,2L10X10X11/8X11/2LLANGLE,2L10X10X11/8X11/2,aisc_augmented,False,reference,,,,,
2L 10 X 10 X 11/8 X 3/4,2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10XI0X11/8X3/4,2L10XI0X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L Shape 2L10X10X11/8X3/4,2LSHAPE2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10X10X1I/8X3/4,2L10X10X1I/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10 X 10X11/8X3/4,2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10X10XI1/8X3/4,2L10X10XI1/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L1OX10X11/8X3/4,2L1OX10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/8X3/4 Double Angle,2L10X10X11/8X3/4DOUBLEANGLE,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2l10x10x11/8x3/4,2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/8X3/4 A36,2L10X10X11/8X3/4A36,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10 X 10 X 11/8 X 3/4,2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
LL Angle 2L10X10X11/8X3/4,LLANGLE2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L_10X10X11/8X3/4,2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/8X3/4 ASTM A36,DOUBLEANGLE2L10X10X11/8X3/4ASTMA36,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10X1OX11/8X3/4,2L10X1OX11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2LI0X10X11/8X3/4,2LI0X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/BX3/4,2L10X10X11/BX3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/8X3/4,DOUBLEANGLE2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/8X3/4 ASTM A36,2L10X10X11/8X3/4ASTMA36,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/8X3/4 A36,DOUBLEANGLE2L10X10X11/8X3/4A36,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10×10×11/8×3/4,2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L 10X10X11/8X3/4,2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
Double Angle-2L10X10X11/8X3/4,DOUBLEANGLE2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/8X3/4 2L Shape,2L10X10X11/8X3/42LSHAPE,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L Shape-2L10X10X11/8X3/4,2LSHAPE2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
LL Angle-2L10X10X11/8X3/4,LLANGLE2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L-10X10X11/8X3/4,2L10X10X11/8X3/4,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
2L10X10X11/8X3/4 LL Angle,2L10X10X11/8X3/4LLANGLE,2L10X10X11/8X3/4,aisc_augmented,False,reference,,,,,
Double Angle-2L10X10X13/8,DOUBLEANGLE2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X13/8 ASTM A36,DOUBLEANGLE2L10X10X13/8ASTMA36,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L 10X10X13/8,2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L Shape 2L10X10X13/8,2LSHAPE2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10X10X13/B,2L10X10X13/B,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10X10XI3/8,2L10X10XI3/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10 X 10 X 13/8,2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
LL Angle 2L10X10X13/8,LLANGLE2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X13/8 A36,DOUBLEANGLE2L10X10X13/8A36,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10 X 10X13/8,2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10X10X13/8 ASTM A36,2L10X10X13/8ASTMA36,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L Shape-2L10X10X13/8,2LSHAPE2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X13/8,DOUBLEANGLE2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10X10X13/8 2L Shape,2L10X10X13/82LSHAPE,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10×10×13/8,2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10XI0X13/8,2L10XI0X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10X10X13/8 LL Angle,2L10X10X13/8LLANGLE,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L-10X10X13/8,2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2LI0X10X13/8,2LI0X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10X1OX13/8,2L10X1OX13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2l10x10x13/8,2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
LL Angle-2L10X10X13/8,LLANGLE2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L1OX10X13/8,2L1OX10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L_10X10X13/8,2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L 10 X 10 X 13/8,2L10X10X13/8,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10X10X13/8 Double Angle,2L10X10X13/8DOUBLEANGLE,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10X10X13/8 A36,2L10X10X13/8A36,2L10X10X13/8,aisc_augmented,False,reference,,,,,
2L10X10X13/8X11/2,2L10X10X13/8X11/2,2L10X10X13/8X11/2,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X13/8X11/2,DOUBLEANGLE2L10X10X13/8X11/2,2L10X10X13/8X11/2,aisc_augmented,False,reference,,,,,
2L10X10X13/8X11/2 Double Angle,2L10X10X13/8X11/2DOUBLEANGLE,2L10X10X13/8X11/2,aisc_augmented,False,reference,,,,,
2L10XI0X13/8X11/2,2L10XI0X13/8X11/2,2L10X10X13/8X11/2,aisc_augmented,False,reference,,,,,
