token,class,category,source
HSS-HSS10X0,HSS,,augmented
HSS10X0 HSS,HSS,,augmented
HSS10X0 A500,HSS,,augmented
HSS10X0 Tube,HSS,,augmented
TS16X0,HSS,,augmented
HSS16X0,HSS,,original
TS 16X0,HSS,,augmented
HSS 16X0,HSS,,original
HSS-16X0,HSS,,augmented
HSS_16X0,HSS,,augmented
HSS16 X 0,HSS,,original
HSS 16 X 0,HSS,,original
HSS HSS16X0,HSS,,augmented
HSS-HSS16X0,HSS,,augmented
HSS16X0 HSS,HSS,,augmented
HSS16X0 A500,HSS,,augmented
HSS16X0 Tube,HSS,,augmented
TS18X0,HSS,,augmented
HSS18X0,HSS,,original
TS 18X0,HSS,,augmented
HSS 18X0,HSS,,original
HSS-18X0,HSS,,augmented
HSS_18X0,HSS,,augmented
HSS18 X 0,HSS,,original
HSS 18 X 0,HSS,,original
HSS HSS18X0,HSS,,augmented
HSS-HSS18X0,HSS,,augmented
HSS18X0 HSS,HSS,,augmented
HSS18X0 A500,HSS,,augmented
HSS18X0 Tube,HSS,,augmented
L1X1X1/4,L,,original
L 1X1X1/4,L,,original
L-1X1X1/4,L,,augmented
L_1X1X1/4,L,,augmented
L1 X 1X1/4,L,,original
L1X1X1/4 A36,L,,augmented
L 1 X 1 X 1/4,L,,original
Angle L1X1X1/4,L,,augmented
Angle-L1X1X1/4,L,,augmented
L1X1X1/4 Angle,L,,augmented
L Shape L1X1X1/4,L,,augmented
L Shape-L1X1X1/4,L,,augmented
L4X3,L,,original
L 4X3,L,,original
L-4X3,L,,augmented
L_4X3,L,,augmented
L4 X 3,L,,original
L 4 X 3,L,,original
L4X3 A36,L,,augmented
Angle L4X3,L,,augmented
Angle-L4X3,L,,augmented
L4X3 Angle,L,,augmented
L Shape L4X3,L,,augmented
L Shape-L4X3,L,,augmented
L4X3 L Shape,L,,augmented
L4X4,L,,original
L 4X4,L,,original
L-4X4,L,,augmented
L_4X4,L,,augmented
L4 X 4,L,,original
L 4 X 4,L,,original
L4X4 A36,L,,augmented
Angle L4X4,L,,augmented
Angle-L4X4,L,,augmented
L4X4 Angle,L,,augmented
L Shape L4X4,L,,augmented
L Shape-L4X4,L,,augmented
C5X3,C,,augmented
L5X3,C,,original
C 5X3,C,,augmented
C-5X3,C,,augmented
C_5X3,C,,augmented
C5 X 3,C,,augmented
C 5 X 3,C,,augmented
C5X3 A36,C,,augmented
C Shape C5X3,C,,augmented
C Shape-C5X3,C,,augmented
C5X3 C Shape,C,,augmented
C5X3 Channel,C,,augmented
L6X3,L,,original
L 6X3,L,,original
L-6X3,L,,augmented
L_6X3,L,,augmented
L6 X 3,L,,original
L 6 X 3,L,,original
L6X3 A36,L,,augmented
Angle L6X3,L,,augmented
Angle-L6X3,L,,augmented
L6X3 Angle,L,,augmented
L Shape L6X3,L,,augmented
L Shape-L6X3,L,,augmented
L6X3 L Shape,L,,augmented
S-001,S,,original
S -001,S,,original
S--001,S,,augmented
S_-001,S,,augmented
S-001 A36,S,,augmented
Beam S-001,S,,augmented
Beam-S-001,S,,augmented
S-001 Beam,S,,augmented
I-Beam S-001,S,,augmented
I-Beam-S-001,S,,augmented
S-001 I-Beam,S,,augmented
S Shape S-001,S,,augmented
S Shape-S-001,S,,augmented
S-002,S,,original
S -002,S,,original
S--002,S,,augmented
S_-002,S,,augmented
S-002 A36,S,,augmented
Beam S-002,S,,augmented
Beam-S-002,S,,augmented
S-002 Beam,S,,augmented
I-Beam S-002,S,,augmented
I-Beam-S-002,S,,augmented
S-002 I-Beam,S,,augmented
S Shape S-002,S,,augmented
S Shape-S-002,S,,augmented
S-003,S,,original
S -003,S,,original
S--003,S,,augmented
S_-003,S,,augmented
S-003 A36,S,,augmented
Beam S-003,S,,augmented
Beam-S-003,S,,augmented
S-003 Beam,S,,augmented
I-Beam S-003,S,,augmented
I-Beam-S-003,S,,augmented
S-003 I-Beam,S,,augmented
S Shape S-003,S,,augmented
S Shape-S-003,S,,augmented
S-004,S,,original
S -004,S,,original
S--004,S,,augmented
S_-004,S,,augmented
S-004 A36,S,,augmented
Beam S-004,S,,augmented
Beam-S-004,S,,augmented
S-004 Beam,S,,augmented
I-Beam S-004,S,,augmented
I-Beam-S-004,S,,augmented
S-004 I-Beam,S,,augmented
S Shape S-004,S,,augmented
S Shape-S-004,S,,augmented
S-111,S,,original
S -111,S,,original
S--111,S,,augmented
S_-111,S,,augmented
S-111 A36,S,,augmented
Beam S-111,S,,augmented
Beam-S-111,S,,augmented
S-111 Beam,S,,augmented
I-Beam S-111,S,,augmented
I-Beam-S-111,S,,augmented
S-111 I-Beam,S,,augmented
S Shape S-111,S,,augmented
S Shape-S-111,S,,augmented
S-112,S,,original
S -112,S,,original
S--112,S,,augmented
S_-112,S,,augmented
S-112 A36,S,,augmented
Beam S-112,S,,augmented
Beam-S-112,S,,augmented
S-112 Beam,S,,augmented
I-Beam S-112,S,,augmented
I-Beam-S-112,S,,augmented
S-112 I-Beam,S,,augmented
S Shape S-112,S,,augmented
S Shape-S-112,S,,augmented
S-113,S,,original
S -113,S,,original
S--113,S,,augmented
S_-113,S,,augmented
S-113 A36,S,,augmented
Beam S-113,S,,augmented
Beam-S-113,S,,augmented
S-113 Beam,S,,augmented
I-Beam S-113,S,,augmented
I-Beam-S-113,S,,augmented
S-113 I-Beam,S,,augmented
S Shape S-113,S,,augmented
S Shape-S-113,S,,augmented
S-201,S,,original
S -201,S,,original
S--201,S,,augmented
S_-201,S,,augmented
S-201 A36,S,,augmented
Beam S-201,S,,augmented
Beam-S-201,S,,augmented
S-201 Beam,S,,augmented
I-Beam S-201,S,,augmented
I-Beam-S-201,S,,augmented
S-201 I-Beam,S,,augmented
S Shape S-201,S,,augmented
S Shape-S-201,S,,augmented
S-202,S,,original
S -202,S,,original
S--202,S,,augmented
S_-202,S,,augmented
S-202 A36,S,,augmented
Beam S-202,S,,augmented
Beam-S-202,S,,augmented
S-202 Beam,S,,augmented
I-Beam S-202,S,,augmented
I-Beam-S-202,S,,augmented
S-202 I-Beam,S,,augmented
S Shape S-202,S,,augmented
S Shape-S-202,S,,augmented
S-203,S,,original
S -203,S,,original
S--203,S,,augmented
S_-203,S,,augmented
S-203 A36,S,,augmented
Beam S-203,S,,augmented
Beam-S-203,S,,augmented
S-203 Beam,S,,augmented
I-Beam S-203,S,,augmented
I-Beam-S-203,S,,augmented
S-203 I-Beam,S,,augmented
S Shape S-203,S,,augmented
S Shape-S-203,S,,augmented
S-204,S,,original
S -204,S,,original
S--204,S,,augmented
S_-204,S,,augmented
S-204 A36,S,,augmented
Beam S-204,S,,augmented
Beam-S-204,S,,augmented
S-204 Beam,S,,augmented
I-Beam S-204,S,,augmented
I-Beam-S-204,S,,augmented
S-204 I-Beam,S,,augmented
S Shape S-204,S,,augmented
S Shape-S-204,S,,augmented
S-205,S,,original
S -205,S,,original
S--205,S,,augmented
S_-205,S,,augmented
S-205 A36,S,,augmented
Beam S-205,S,,augmented
Beam-S-205,S,,augmented
S-205 Beam,S,,augmented
I-Beam S-205,S,,augmented
I-Beam-S-205,S,,augmented
S-205 I-Beam,S,,augmented
S Shape S-205,S,,augmented
S Shape-S-205,S,,augmented
S-206,S,,original
S -206,S,,original
S--206,S,,augmented
S_-206,S,,augmented
S-206 A36,S,,augmented
Beam S-206,S,,augmented
Beam-S-206,S,,augmented
S-206 Beam,S,,augmented
I-Beam S-206,S,,augmented
I-Beam-S-206,S,,augmented
S-206 I-Beam,S,,augmented
S Shape S-206,S,,augmented
S Shape-S-206,S,,augmented
S-301,S,,original
S -301,S,,original
S--301,S,,augmented
S_-301,S,,augmented
S-301 A36,S,,augmented
Beam S-301,S,,augmented
Beam-S-301,S,,augmented
S-301 Beam,S,,augmented
I-Beam S-301,S,,augmented
I-Beam-S-301,S,,augmented
S-301 I-Beam,S,,augmented
S Shape S-301,S,,augmented
S Shape-S-301,S,,augmented
S-311,S,,original
S -311,S,,original
S--311,S,,augmented
S_-311,S,,augmented
S-311 A36,S,,augmented
Beam S-311,S,,augmented
Beam-S-311,S,,augmented
S-311 Beam,S,,augmented
I-Beam S-311,S,,augmented
I-Beam-S-311,S,,augmented
S-311 I-Beam,S,,augmented
S Shape S-311,S,,augmented
S Shape-S-311,S,,augmented
S-312,S,,original
S -312,S,,original
S--312,S,,augmented
S_-312,S,,augmented
S-312 A36,S,,augmented
Beam S-312,S,,augmented
Beam-S-312,S,,augmented
S-312 Beam,S,,augmented
I-Beam S-312,S,,augmented
I-Beam-S-312,S,,augmented
S-312 I-Beam,S,,augmented
S Shape S-312,S,,augmented
S Shape-S-312,S,,augmented
S-321,S,,original
S -321,S,,original
S--321,S,,augmented
S_-321,S,,augmented
S-321 A36,S,,augmented
Beam S-321,S,,augmented
Beam-S-321,S,,augmented
S-321 Beam,S,,augmented
I-Beam S-321,S,,augmented
I-Beam-S-321,S,,augmented
S-321 I-Beam,S,,augmented
S Shape S-321,S,,augmented
S Shape-S-321,S,,augmented
S-322,S,,original
S -322,S,,original
S--322,S,,augmented
S_-322,S,,augmented
S-322 A36,S,,augmented
Beam S-322,S,,augmented
Beam-S-322,S,,augmented
S-322 Beam,S,,augmented
I-Beam S-322,S,,augmented
I-Beam-S-322,S,,augmented
S-322 I-Beam,S,,augmented
S Shape S-322,S,,augmented
S Shape-S-322,S,,augmented
S-401,S,,original
S -401,S,,original
S--401,S,,augmented
S_-401,S,,augmented
S-401 A36,S,,augmented
Beam S-401,S,,augmented
Beam-S-401,S,,augmented
S-401 Beam,S,,augmented
I-Beam S-401,S,,augmented
I-Beam-S-401,S,,augmented
S-401 I-Beam,S,,augmented
S Shape S-401,S,,augmented
S Shape-S-401,S,,augmented
S-402,S,,original
S -402,S,,original
S--402,S,,augmented
S_-402,S,,augmented
S-402 A36,S,,augmented
Beam S-402,S,,augmented
Beam-S-402,S,,augmented
S-402 Beam,S,,augmented
I-Beam S-402,S,,augmented
I-Beam-S-402,S,,augmented
S-402 I-Beam,S,,augmented
S Shape S-402,S,,augmented
S Shape-S-402,S,,augmented
S-403,S,,original
S -403,S,,original
S--403,S,,augmented
S_-403,S,,augmented
S-403 A36,S,,augmented
Beam S-403,S,,augmented
Beam-S-403,S,,augmented
S-403 Beam,S,,augmented
I-Beam S-403,S,,augmented
I-Beam-S-403,S,,augmented
S-403 I-Beam,S,,augmented
S Shape S-403,S,,augmented
S Shape-S-403,S,,augmented
S-404,S,,original
S -404,S,,original
S--404,S,,augmented
S_-404,S,,augmented
S-404 A36,S,,augmented
Beam S-404,S,,augmented
Beam-S-404,S,,augmented
S-404 Beam,S,,augmented
I-Beam S-404,S,,augmented
I-Beam-S-404,S,,augmented
S-404 I-Beam,S,,augmented
S Shape S-404,S,,augmented
S Shape-S-404,S,,augmented
S-501,S,,original
S -501,S,,original
S--501,S,,augmented
S_-501,S,,augmented
S-501 A36,S,,augmented
Beam S-501,S,,augmented
Beam-S-501,S,,augmented
S-501 Beam,S,,augmented
I-Beam S-501,S,,augmented
I-Beam-S-501,S,,augmented
S-501 I-Beam,S,,augmented
S Shape S-501,S,,augmented
S Shape-S-501,S,,augmented
S-502,S,,original
S -502,S,,original
S--502,S,,augmented
S_-502,S,,augmented
S-502 A36,S,,augmented
Beam S-502,S,,augmented
Beam-S-502,S,,augmented
S-502 Beam,S,,augmented
I-Beam S-502,S,,augmented
I-Beam-S-502,S,,augmented
S-502 I-Beam,S,,augmented
S Shape S-502,S,,augmented
S Shape-S-502,S,,augmented
S-601,S,,original
S -601,S,,original
S--601,S,,augmented
S_-601,S,,augmented
S-601 A36,S,,augmented
Beam S-601,S,,augmented
Beam-S-601,S,,augmented
S-601 Beam,S,,augmented
I-Beam S-601,S,,augmented
I-Beam-S-601,S,,augmented
S-601 I-Beam,S,,augmented
S Shape S-601,S,,augmented
S Shape-S-601,S,,augmented
A205,A,,original
A A205,A,,augmented
A205 (A),A,,augmented
ASTM A205,A,,augmented
A205 Steel,A,,augmented
Grade A205,A,,augmented
Mat'l A205,A,,augmented
Steel A205,A,,augmented
MATERIAL A205,A,,augmented
A5,A,,original
A A5,A,,augmented
A5 (A),A,,augmented
ASTM A5,A,,augmented
A5 Steel,A,,augmented
Grade A5,A,,augmented
Mat'l A5,A,,augmented
Steel A5,A,,augmented
MATERIAL A5,A,,augmented
TS10X10,HSS,,augmented
HSS10X10,HSS,,original
TS 10X10,HSS,,augmented
HSS 10X10,HSS,,original
HSS-10X10,HSS,,augmented
HSS_10X10,HSS,,augmented
HSS10 X 10,HSS,,original
HSS 10 X 10,HSS,,original
HSS HSS10X10,HSS,,augmented
HSS-HSS10X10,HSS,,augmented
HSS10X10 HSS,HSS,,augmented
HSS10X10 A500,HSS,,augmented
TS3X3,HSS,,augmented
HSS3X3,HSS,,original
TS 3X3,HSS,,augmented
HSS 3X3,HSS,,original
HSS-3X3,HSS,,augmented
HSS_3X3,HSS,,augmented
HSS3 X 3,HSS,,original
HSS 3 X 3,HSS,,original
HSS HSS3X3,HSS,,augmented
HSS-HSS3X3,HSS,,augmented
HSS3X3 HSS,HSS,,augmented
HSS3X3 A500,HSS,,augmented
TS6X8X1/2,HSS,,augmented
HSS6X8X1/2,HSS,,original
TS 6X8X1/2,HSS,,augmented
HSS 6X8X1/2,HSS,,original
HSS-6X8X1/2,HSS,,augmented
HSS_6X8X1/2,HSS,,augmented
HSS6 X 8X1/2,HSS,,original
HSS HSS6X8X1/2,HSS,,augmented
HSS-HSS6X8X1/2,HSS,,augmented
HSS6X8X1/2 HSS,HSS,,augmented
HSS 6 X 8 X 1/2,HSS,,original
HSS6X8X1/2 A500,HSS,,augmented
TS8X8,HSS,,augmented
HSS8X8,HSS,,original
TS 8X8,HSS,,augmented
HSS 8X8,HSS,,original
HSS-8X8,HSS,,augmented
HSS_8X8,HSS,,augmented
HSS8 X 8,HSS,,original
HSS 8 X 8,HSS,,original
HSS HSS8X8,HSS,,augmented
HSS-HSS8X8,HSS,,augmented
HSS8X8 HSS,HSS,,augmented
HSS8X8 A500,HSS,,augmented
HSS8X8 Tube,HSS,,augmented
A2280,A,,original
A A2280,A,,augmented
A2280 (A),A,,augmented
ASTM A2280,A,,augmented
A2280 Steel,A,,augmented
Grade A2280,A,,augmented
Mat'l A2280,A,,augmented
Steel A2280,A,,augmented
MATERIAL A2280,A,,augmented
A29,A,,original
A A29,A,,augmented
A29 (A),A,,augmented
ASTM A29,A,,augmented
A29 Steel,A,,augmented
Grade A29,A,,augmented
Mat'l A29,A,,augmented
Steel A29,A,,augmented
MATERIAL A29,A,,augmented
A416,A,,original
A A416,A,,augmented
A416 (A),A,,augmented
ASTM A416,A,,augmented
A416 Steel,A,,augmented
Grade A416,A,,augmented
Mat'l A416,A,,augmented
Steel A416,A,,augmented
MATERIAL A416,A,,augmented
A446,A,,original
A A446,A,,augmented
A446 (A),A,,augmented
ASTM A446,A,,augmented
A446 Steel,A,,augmented
Grade A446,A,,augmented
Mat'l A446,A,,augmented
Steel A446,A,,augmented
MATERIAL A446,A,,augmented
A490,A,,original
A A490,A,,augmented
A490 (A),A,,augmented
ASTM A490,A,,augmented
A490 Steel,A,,augmented
Grade A490,A,,augmented
Mat'l A490,A,,augmented
Steel A490,A,,augmented
MATERIAL A490,A,,augmented
A563,A,,original
A A563,A,,augmented
A563 (A),A,,augmented
ASTM A563,A,,augmented
A563 Steel,A,,augmented
Grade A563,A,,augmented
Mat'l A563,A,,augmented
Steel A563,A,,augmented
MATERIAL A563,A,,augmented
A959,A,,original
A A959,A,,augmented
A959 (A),A,,augmented
ASTM A959,A,,augmented
A959 Steel,A,,augmented
Grade A959,A,,augmented
Mat'l A959,A,,augmented
Steel A959,A,,augmented
MATERIAL A959,A,,augmented
TS5X5,HSS,,augmented
HSS5X5,HSS,,original
TS 5X5,HSS,,augmented
HSS 5X5,HSS,,original
HSS-5X5,HSS,,augmented
HSS_5X5,HSS,,augmented
HSS5 X 5,HSS,,original
HSS 5 X 5,HSS,,original
HSS HSS5X5,HSS,,augmented
HSS-HSS5X5,HSS,,augmented
HSS5X5 HSS,HSS,,augmented
HSS5X5 A500,HSS,,augmented
L18X12X3/8,L,,original
L 18X12X3/8,L,,original
L-18X12X3/8,L,,augmented
L_18X12X3/8,L,,augmented
L18 X 12X3/8,L,,original
L18X12X3/8 A36,L,,augmented
L 18 X 12 X 3/8,L,,original
Angle L18X12X3/8,L,,augmented
Angle-L18X12X3/8,L,,augmented
L18X12X3/8 Angle,L,,augmented
L Shape L18X12X3/8,L,,augmented
L Shape-L18X12X3/8,L,,augmented
S-101,S,,original
S -101,S,,original
S--101,S,,augmented
S_-101,S,,augmented
S-101 A36,S,,augmented
Beam S-101,S,,augmented
Beam-S-101,S,,augmented
S-101 Beam,S,,augmented
I-Beam S-101,S,,augmented
I-Beam-S-101,S,,augmented
S-101 I-Beam,S,,augmented
S Shape S-101,S,,augmented
S Shape-S-101,S,,augmented
S-102,S,,original
S -102,S,,original
S--102,S,,augmented
S_-102,S,,augmented
S-102 A36,S,,augmented
Beam S-102,S,,augmented
Beam-S-102,S,,augmented
S-102 Beam,S,,augmented
I-Beam S-102,S,,augmented
I-Beam-S-102,S,,augmented
S-102 I-Beam,S,,augmented
S Shape S-102,S,,augmented
S Shape-S-102,S,,augmented
S-103,S,,original
S -103,S,,original
S--103,S,,augmented
S_-103,S,,augmented
S-103 A36,S,,augmented
Beam S-103,S,,augmented
Beam-S-103,S,,augmented
S-103 Beam,S,,augmented
I-Beam S-103,S,,augmented
I-Beam-S-103,S,,augmented
S-103 I-Beam,S,,augmented
S Shape S-103,S,,augmented
S Shape-S-103,S,,augmented
S-104,S,,original
S -104,S,,original
S--104,S,,augmented
S_-104,S,,augmented
S-104 A36,S,,augmented
Beam S-104,S,,augmented
Beam-S-104,S,,augmented
S-104 Beam,S,,augmented
I-Beam S-104,S,,augmented
I-Beam-S-104,S,,augmented
S-104 I-Beam,S,,augmented
S Shape S-104,S,,augmented
S Shape-S-104,S,,augmented
S-207,S,,original
S -207,S,,original
S--207,S,,augmented
S_-207,S,,augmented
S-207 A36,S,,augmented
Beam S-207,S,,augmented
Beam-S-207,S,,augmented
S-207 Beam,S,,augmented
I-Beam S-207,S,,augmented
I-Beam-S-207,S,,augmented
S-207 I-Beam,S,,augmented
S Shape S-207,S,,augmented
S Shape-S-207,S,,augmented
S-208,S,,original
S -208,S,,original
S--208,S,,augmented
S_-208,S,,augmented
S-208 A36,S,,augmented
Beam S-208,S,,augmented
Beam-S-208,S,,augmented
S-208 Beam,S,,augmented
I-Beam S-208,S,,augmented
I-Beam-S-208,S,,augmented
S-208 I-Beam,S,,augmented
S Shape S-208,S,,augmented
S Shape-S-208,S,,augmented
W14X198,W,,original
W 14X198,W,,original
W-14X198,W,,augmented
W_14X198,W,,augmented
WF14X198,W,,augmented
W14 X 198,W,,original
WF 14X198,W,,augmented
WF-14X198,W,,augmented
W 14 X 198,W,,original
W14X198 WF,W,,augmented
WF W14X198,W,,augmented
WF-W14X198,W,,augmented
A153,A,,original
A A153,A,,augmented
A153 (A),A,,augmented
ASTM A153,A,,augmented
A153 Steel,A,,augmented
Grade A153,A,,augmented
Mat'l A153,A,,augmented
Steel A153,A,,augmented
MATERIAL A153,A,,augmented
A496,A,,original
A A496,A,,augmented
A496 (A),A,,augmented
ASTM A496,A,,augmented
A496 Steel,A,,augmented
Grade A496,A,,augmented
Mat'l A496,A,,augmented
Steel A496,A,,augmented
MATERIAL A496,A,,augmented
A525,A,,original
A A525,A,,augmented
A525 (A),A,,augmented
ASTM A525,A,,augmented
A525 Steel,A,,augmented
Grade A525,A,,augmented
Mat'l A525,A,,augmented
Steel A525,A,,augmented
MATERIAL A525,A,,augmented
A775,A,,original
A A775,A,,augmented
A775 (A),A,,augmented
ASTM A775,A,,augmented
A775 Steel,A,,augmented
Grade A775,A,,augmented
Mat'l A775,A,,augmented
Steel A775,A,,augmented
MATERIAL A775,A,,augmented
A780,A,,original
A A780,A,,augmented
A780 (A),A,,augmented
ASTM A780,A,,augmented
A780 Steel,A,,augmented
Grade A780,A,,augmented
Mat'l A780,A,,augmented
Steel A780,A,,augmented
MATERIAL A780,A,,augmented
TS12X12,HSS,,augmented
HSS12X12,HSS,,original
TS 12X12,HSS,,augmented
HSS 12X12,HSS,,original
HSS-12X12,HSS,,augmented
HSS_12X12,HSS,,augmented
HSS12 X 12,HSS,,original
HSS 12 X 12,HSS,,original
HSS HSS12X12,HSS,,augmented
HSS-HSS12X12,HSS,,augmented
HSS12X12 HSS,HSS,,augmented
HSS12X12 A500,HSS,,augmented
TS14X0,HSS,,augmented
HSS14X0,HSS,,original
TS 14X0,HSS,,augmented
HSS 14X0,HSS,,original
HSS-14X0,HSS,,augmented
HSS_14X0,HSS,,augmented
HSS14 X 0,HSS,,original
HSS 14 X 0,HSS,,original
HSS HSS14X0,HSS,,augmented
HSS-HSS14X0,HSS,,augmented
HSS14X0 HSS,HSS,,augmented
HSS14X0 A500,HSS,,augmented
TS14X10,HSS,,augmented
HSS14X10,HSS,,original
TS 14X10,HSS,,augmented
HSS 14X10,HSS,,original
HSS-14X10,HSS,,augmented
HSS_14X10,HSS,,augmented
HSS14 X 10,HSS,,original
HSS 14 X 10,HSS,,original
HSS HSS14X10,HSS,,augmented
HSS-HSS14X10,HSS,,augmented
HSS14X10 HSS,HSS,,augmented
HSS14X10 A500,HSS,,augmented
TS14X14,HSS,,augmented
HSS14X14,HSS,,original
TS 14X14,HSS,,augmented
HSS 14X14,HSS,,original
HSS-14X14,HSS,,augmented
HSS_14X14,HSS,,augmented
HSS14 X 14,HSS,,original
HSS 14 X 14,HSS,,original
HSS HSS14X14,HSS,,augmented
HSS-HSS14X14,HSS,,augmented
HSS14X14 HSS,HSS,,augmented
HSS14X14 A500,HSS,,augmented
TS6X6,HSS,,augmented
HSS6X6,HSS,,original
TS 6X6,HSS,,augmented
HSS 6X6,HSS,,original
HSS-6X6,HSS,,augmented
HSS_6X6,HSS,,augmented
HSS6 X 6,HSS,,original
HSS 6 X 6,HSS,,original
HSS HSS6X6,HSS,,augmented
HSS-HSS6X6,HSS,,augmented
HSS6X6 HSS,HSS,,augmented
