record_id,project_id,document_id,page_number,sheet_id,schedule_id,schedule_title_raw,schedule_class,region_bbox,location_or_grid_raw,location_or_grid_normalized,level_raw,level_normalized,raw_cell_text,canonical_section,catalog_valid,member_role,lifecycle_status,physical_semantics,member_extent,continuation_inheritance,physical_segment_count,plan_corroboration_status,explicit_quantity,count_candidate,exclusion_reason,source_cell_bbox,header_path,proposal_method,extraction_review_status,physical_review_status,reviewer_notes
REAL-Burrville_p28-012,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A.9'-0.7,A.9'-0.7,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1062.6, 398.9, 1075.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A.9'-0.7"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-013,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",B-6.5,B-6.5,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1134.6, 401.2, 1147.2, 441.0]","[""COLUMN SCHEDULE"", ""Column Locations: B-6.5"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-014,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",B-7,B-7,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1206.6, 398.9, 1219.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: B-7"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-015,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",B-8,B-8,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1278.6, 398.9, 1291.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: B-8"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-016,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",B-9,B-9,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1350.6, 398.9, 1363.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: B-9"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-017,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",B-10,B-10,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1422.6, 398.9, 1435.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: B-10"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-018,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",C-6.6,C-6.6,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1494.6, 398.9, 1507.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: C-6.6"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-019,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",C-7,C-7,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1566.6, 398.9, 1579.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: C-7"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-020,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",C-8,C-8,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1638.6, 398.9, 1651.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: C-8"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-021,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",C-9,C-9,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X45,W10X45,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1710.6, 398.9, 1723.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: C-9"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-022,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",C-10,C-10,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1782.6, 398.9, 1795.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: C-10"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-023,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",C-11,C-11,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1854.6, 398.9, 1867.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: C-11"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-024,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",C-11.5,C-11.5,,,,,False,column,unknown,unknown,,unknown,,unknown,,False,no_section_label_found,"[1924.9, 686.0, 1953.1, 695.5]","[""COLUMN SCHEDULE"", ""Column Locations: C-11.5"", ""Level interval: (none found)""]",strip_without_label,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-025,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",C.3'-0.7,C.3'-0.7,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[1998.6, 401.2, 2011.2, 441.0]","[""COLUMN SCHEDULE"", ""Column Locations: C.3'-0.7"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-026,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",D-7,D-7,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[2070.6, 398.9, 2083.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: D-7"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-027,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",D-8,D-8,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[2142.6, 398.9, 2155.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: D-8"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-028,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",D-9,D-9,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X45,W10X45,True,column,unknown,unknown,,unknown,,unknown,,False,,"[2214.6, 398.9, 2227.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: D-9"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-029,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",D-10,D-10,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[2286.6, 398.9, 2299.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: D-10"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-030,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",D-11,D-11,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[2358.6, 401.2, 2371.2, 441.0]","[""COLUMN SCHEDULE"", ""Column Locations: D-11"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-031,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",D-11.5,D-11.5,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[2429.4, 396.8, 2442.0, 436.7]","[""COLUMN SCHEDULE"", ""Column Locations: D-11.5"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-032,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",E-1,E-1,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[2502.8, 401.2, 2515.3, 441.0]","[""COLUMN SCHEDULE"", ""Column Locations: E-1"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-033,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M2,COLUMN SCHEDULE,level_location_matrix,"[172.7, 937.1, 2555.1, 1504.6]",E-3,E-3,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[268.9, 1195.3, 281.5, 1235.2]","[""COLUMN SCHEDULE"", ""Column Locations: E-3"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-034,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M2,COLUMN SCHEDULE,level_location_matrix,"[172.7, 937.1, 2555.1, 1504.6]",E-4,E-4,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[342.8, 1195.3, 355.3, 1235.2]","[""COLUMN SCHEDULE"", ""Column Locations: E-4"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-035,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M2,COLUMN SCHEDULE,level_location_matrix,"[172.7, 937.1, 2555.1, 1504.6]",E-4.15,E-4.15,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[409.2, 1195.3, 421.8, 1235.2]","[""COLUMN SCHEDULE"", ""Column Locations: E-4.15"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-036,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M2,COLUMN SCHEDULE,level_location_matrix,"[172.7, 937.1, 2555.1, 1504.6]",E-5,E-5,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[485.6, 1195.3, 498.1, 1235.2]","[""COLUMN SCHEDULE"", ""Column Locations: E-5"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-037,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M2,COLUMN SCHEDULE,level_location_matrix,"[172.7, 937.1, 2555.1, 1504.6]",E-5.5,E-5.5,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[557.5, 1195.3, 570.1, 1235.2]","[""COLUMN SCHEDULE"", ""Column Locations: E-5.5"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-038,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M2,COLUMN SCHEDULE,level_location_matrix,"[172.7, 937.1, 2555.1, 1504.6]",E-8',E-8',"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",HSS10X0.625,HSS10.000X0.625,True,column,unknown,unknown,,unknown,,unknown,,False,,"[629.4, 1184.6, 642.0, 1250.6]","[""COLUMN SCHEDULE"", ""Column Locations: E-8'"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
